"","sites","half.time","jama"
"1","US-Ha1",220,0.599110842054248
"2","US-PFa",220,0.833490592977463
"3","BE-Bra",220,0.866225359511135
"4","BE-Vie",220,0.777333096139557
"5","DE-Tha",220,0.770789543318597
"6","DK-Sor",220,0.468515935521702
"7","FI-Hyy",220,0.592895712920241
"8","IT-Col",220,0.621978669516961
"9","NL-Loo",220,0.670933835507307
"10","CH-Dav",220,0.80330401264212
"11","RU-Fyo",220,0.789549481002658
"12","US-NR1",220,0.836680643988597
"13","IT-Ren",220,0.825910106231686
"14","US-MMS",220,0.565731817116787
"15","US-WCr",220,0.633872431783969
"16","CA-Man",220,0.671280396800822
"17","DK-ZaH",220,0.304922099372306
"18","FR-Pue",220,0.562024964340603
"19","US-Los",220,0.835025385502249
"20","US-UMB",220,0.603611024978962
"21","US-Var",220,0.527635841314592
"22","AU-How",220,0.66150599408592
"23","AU-Tum",220,0.253489441011456
"24","FI-Sod",220,0.611760918441756
"25","IT-SRo",220,0.198684091496195
"26","US-Syv",220,0.848207341934599
"27","US-Ton",220,0.385839403989723
"28","ZA-Kru",220,0.809264501060595
"29","DE-Hai",220,0.698938250004773
"30","FR-LBr",220,0.0402764634166812
"31","IT-Cpz",220,0.79798517542398
"32","US-Me2",220,0.641050602744473
"33","IT-Lav",220,0.340306121034223
"34","RU-Cok",220,0.253703019148472
"35","AT-Neu",220,0.515557407793477
"36","CH-Lae",220,0.637071290003859
"37","DE-Gri",220,0.266279131621914
"38","GF-Guy",220,0.0472304050910016
"39","IT-MBo",220,0.474020065889643
"40","IT-Noe",220,0.150483643987656
"41","IT-Ro2",220,0.247832521597601
"42","US-Blo",220,0.785223333717897
"43","US-GLE",220,0.84981373297901
"44","US-SRM",220,0.833483539768137
"45","US-Wkg",220,0.577240073032769
"46","BR-Sa1",220,-0.068217042026729
"47","CH-Cha",220,0.796191856862302
"48","CH-Fru",220,0.745279835776056
"49","FR-Fon",220,0.553191682016908
"50","CZ-wet",220,0.549324099839077
"51","IT-Ro1",220,0.153210077881543
"52","US-Ha1",221,0.597483802054262
"53","US-PFa",221,0.832379593445462
"54","BE-Bra",221,0.865463467684785
"55","BE-Vie",221,0.7763153932571
"56","DE-Tha",221,0.769840556343315
"57","DK-Sor",221,0.467948973819004
"58","FI-Hyy",221,0.592313352258236
"59","IT-Col",221,0.621728827590282
"60","NL-Loo",221,0.669472623396263
"61","CH-Dav",221,0.803023789003918
"62","RU-Fyo",221,0.788677156334587
"63","US-NR1",221,0.835771251030399
"64","IT-Ren",221,0.824843359700053
"65","US-MMS",221,0.564667739687739
"66","US-WCr",221,0.631495485587295
"67","CA-Man",221,0.668326804090794
"68","DK-ZaH",221,0.304935443915044
"69","FR-Pue",221,0.561150190984324
"70","US-Los",221,0.834182546137438
"71","US-UMB",221,0.602681334947877
