"","sites","half.time","jama"
"1","US-Ha1",307,0.485411585120444
"2","US-PFa",307,0.725955063623914
"3","BE-Bra",307,0.812064776379844
"4","BE-Vie",307,0.700672561169607
"5","DE-Tha",307,0.693002409352763
"6","DK-Sor",307,0.426879040917386
"7","FI-Hyy",307,0.524649328511098
"8","IT-Col",307,0.552275448117027
"9","NL-Loo",307,0.549716892300924
"10","CH-Dav",307,0.736416644751146
"11","RU-Fyo",307,0.683678971367719
"12","US-NR1",307,0.765774485168817
"13","IT-Ren",307,0.739275228336443
"14","US-MMS",307,0.51711750894421
"15","US-WCr",307,0.448583301664281
"16","CA-Man",307,0.451409239125136
"17","DK-ZaH",307,0.301016232698163
"18","FR-Pue",307,0.478454065095793
"19","US-Los",307,0.76370460038982
"20","US-UMB",307,0.521483047462675
"21","US-Var",307,0.493737043622656
"22","AU-How",307,0.582621659401645
"23","AU-Tum",307,0.0982030575623248
"24","FI-Sod",307,0.36851377562836
"25","IT-SRo",307,0.218381618792487
"26","US-Syv",307,0.753341753763598
"27","US-Ton",307,0.386609210346146
"28","ZA-Kru",307,0.723609649363774
"29","DE-Hai",307,0.575596148572149
"30","FR-LBr",307,0.168563944870212
"31","IT-Cpz",307,0.801629562684219
"32","US-Me2",307,0.585665498560153
"33","IT-Lav",307,0.279169479565809
"34","RU-Cok",307,0.276817018095443
"35","AT-Neu",307,0.428425256661241
"36","CH-Lae",307,0.526481064288007
"37","DE-Gri",307,0.207016682644572
"38","GF-Guy",307,0.0134271542962687
"39","IT-MBo",307,0.475632488925047
"40","IT-Noe",307,0.126784765188163
"41","IT-Ro2",307,0.170462469531342
"42","US-Blo",307,0.758370913480284
"43","US-GLE",307,0.792914581505172
"44","US-SRM",307,0.788196950323275
"45","US-Wkg",307,0.529771223468237
"46","BR-Sa1",307,0.1470085851872
"47","CH-Cha",307,0.660506197163464
"48","CH-Fru",307,0.624625650197051
"49","FR-Fon",307,0.54528966530882
"50","CZ-wet",307,0.507992872719427
"51","IT-Ro1",307,0.136420732920122
"52","US-Ha1",308,0.483926930135513
"53","US-PFa",308,0.724633347969778
"54","BE-Bra",308,0.811369742488218
"55","BE-Vie",308,0.699890286230752
"56","DE-Tha",308,0.692479521798135
"57","DK-Sor",308,0.426346035604558
"58","FI-Hyy",308,0.523734067996279
"59","IT-Col",308,0.551051003735359
"60","NL-Loo",308,0.548496705109006
"61","CH-Dav",308,0.735790809300394
"62","RU-Fyo",308,0.682574357776179
"63","US-NR1",308,0.765055279443028
"64","IT-Ren",308,0.738270324847665
"65","US-MMS",308,0.515548042013593
"66","US-WCr",308,0.44755711639865
"67","CA-Man",308,0.449907954001573
"68","DK-ZaH",308,0.301102424802952
"69","FR-Pue",308,0.477353444606748
"70","US-Los",308,0.762904879654389
"71","US-UMB",308,0.52059023597928
"72","US-Var",308,0.493514518886427
"73","AU-How",308,0.581840093489532
"74","AU-Tum",308,0.10200504705889
"75","FI-Sod",308,0.366644207174772
"76","IT-SRo",308,0.21953967556227
"77","US-Syv",308,0.752340855464161
"78","US-Ton",308,0.386621551757422
"79","ZA-Kru",308,0.722489100131788
"80","DE-Hai",308,0.574257086010485
"81","FR-LBr",308,0.171549434356778
"82","IT-Cpz",308,0.801389850199334
"83","US-Me2",308,0.586213071747734
"84","IT-Lav",308,0.276419419573131
"85","RU-Cok",308,0.276961809994977
"86","AT-Neu",308,0.426457586437804
"87","CH-Lae",308,0.525617309340528
"88","DE-Gri",308,0.205832606952713
"89","GF-Guy",308,0.0210896020862685
"90","IT-MBo",308,0.47550626446988
"91","IT-Noe",308,0.125504534724395
"92","IT-Ro2",308,0.169950097820274
"93","US-Blo",308,0.758387267455247
"94","US-GLE",308,0.793113572573563
"95","US-SRM",308,0.787725215488214
"96","US-Wkg",308,0.529293300363436
"97","BR-Sa1",308,0.149431166331263
"98","CH-Cha",308,0.659069358216422
