"","sites","half.time","jama"
"1","US-Ha1",148,0.712833273092661
"2","US-PFa",148,0.902054249808439
"3","BE-Bra",148,0.905586574429336
"4","BE-Vie",148,0.844608237346692
"5","DE-Tha",148,0.8339577401271
"6","DK-Sor",148,0.497108839473732
"7","FI-Hyy",148,0.64561259304908
"8","IT-Col",148,0.681840537284669
"9","NL-Loo",148,0.777219126169765
"10","CH-Dav",148,0.840893785652659
"11","RU-Fyo",148,0.85273631364537
"12","US-NR1",148,0.896673753803277
"13","IT-Ren",148,0.886235044544232
"14","US-MMS",148,0.611134084781751
"15","US-WCr",148,0.795735312809418
"16","CA-Man",148,0.836288373733641
"17","DK-ZaH",148,0.333918339133457
"18","FR-Pue",148,0.581257863262507
"19","US-Los",148,0.89573165685985
"20","US-UMB",148,0.659639644921922
"21","US-Var",148,0.608679588191839
"22","AU-How",148,0.735295411035842
"23","AU-Tum",148,0.599425441328537
"24","FI-Sod",148,0.863948987325904
"25","IT-SRo",148,0.191141530652617
"26","US-Syv",148,0.907178943578919
"27","US-Ton",148,0.403988297164715
"28","ZA-Kru",148,0.872232023807596
"29","DE-Hai",148,0.813336952764442
"30","FR-LBr",148,0.417137745393627
"31","IT-Cpz",148,0.758937734787297
"32","US-Me2",148,0.662100626312456
"33","IT-Lav",148,0.381928961296813
"34","RU-Cok",148,0.492048577126968
"35","AT-Neu",148,0.583479927739082
"36","CH-Lae",148,0.736523275297888
"37","DE-Gri",148,0.375142517640585
"38","GF-Guy",148,0.118617597374983
"39","IT-MBo",148,0.435849697170976
"40","IT-Noe",148,0.203033875796406
"41","IT-Ro2",148,0.31927324375642
"42","US-Blo",148,0.798234537127609
"43","US-GLE",148,0.897000094682616
"44","US-SRM",148,0.872474745827567
"45","US-Wkg",148,0.635580698022106
"46","BR-Sa1",148,0.318984421600759
"47","CH-Cha",148,0.906138943735709
"48","CH-Fru",148,0.851549744603462
"49","FR-Fon",148,0.547286331062938
"50","CZ-wet",148,0.563559897375648
"51","IT-Ro1",148,0.192034189223902
"52","US-Ha1",149,0.711192596867498
"53","US-PFa",149,0.90122575636085
"54","BE-Bra",149,0.905123410550756
"55","BE-Vie",149,0.843863356608975
"56","DE-Tha",149,0.833191989570407
"57","DK-Sor",149,0.496480089775812
"58","FI-Hyy",149,0.644686671574523
"59","IT-Col",149,0.681314271765348
"60","NL-Loo",149,0.775851119855492
"61","CH-Dav",149,0.840618285245097
"62","RU-Fyo",149,0.852258072386386
"63","US-NR1",149,0.895958203199383
"64","IT-Ren",149,0.885551941233273
"65","US-MMS",149,0.610910236344232
"66","US-WCr",149,0.793811577962853
"67","CA-Man",149,0.835498990770793
"68","DK-ZaH",149,0.332580341889358
"69","FR-Pue",149,0.581380785300945
"70","US-Los",149,0.894967991300267
"71","US-UMB",149,0.659226865862519
"72","US-Var",149,0.606974206503775
"73","AU-How",149,0.734309150350445
"74","AU-Tum",149,0.591162905657042
"75","FI-Sod",149,0.861214621030088
"76","IT-SRo",149,0.191055549363626
"77","US-Syv",149,0.906553906884433
"78","US-Ton",149,0.402901427527496
"79","ZA-Kru",149,0.871238283663463
"80","DE-Hai",149,0.812124980829979
"81","FR-LBr",149,0.410346004618647
"82","IT-Cpz",149,0.75951517778882
"83","US-Me2",149,0.662859630056549
"84","IT-Lav",149,0.380936908186003
"85","RU-Cok",149,0.482228850843786
"86","AT-Neu",149,0.58320273364921
"87","CH-Lae",149,0.735140996367902
"88","DE-Gri",149,0.371891431465132
"89","GF-Guy",149,0.118876387083356
"90","IT-MBo",149,0.436838230106836
"91","IT-Noe",149,0.201600866936909
"92","IT-Ro2",149,0.319051397872107
"93","US-Blo",149,0.798299538758895
"94","US-GLE",149,0.896210858699812
"95","US-SRM",149,0.872030493006916
"96","US-Wkg",149,0.634817042920368
"97","BR-Sa1",149,0.309562193767647
"98","CH-Cha",149,0.904776386251187
