"","sites","half.time","jama"
"1","US-Ha1",344,0.446428673073172
"2","US-PFa",344,0.674112166497135
"3","BE-Bra",344,0.788369514983957
"4","BE-Vie",344,0.672225817867981
"5","DE-Tha",344,0.662937769932017
"6","DK-Sor",344,0.410997420150705
"7","FI-Hyy",344,0.499121726926778
"8","IT-Col",344,0.527058742602301
"9","NL-Loo",344,0.503195293028668
"10","CH-Dav",344,0.704733608665354
"11","RU-Fyo",344,0.63593409519148
"12","US-NR1",344,0.738459257393046
"13","IT-Ren",344,0.7030976680967
"14","US-MMS",344,0.499078500168762
"15","US-WCr",344,0.384974194928013
"16","CA-Man",344,0.391869032353015
"17","DK-ZaH",344,0.300131525450472
"18","FR-Pue",344,0.430400339066258
"19","US-Los",344,0.736947696709929
"20","US-UMB",344,0.488782848291759
"21","US-Var",344,0.488079227769508
"22","AU-How",344,0.554279311095123
"23","AU-Tum",344,0.091470755781667
"24","FI-Sod",344,0.306052688264657
"25","IT-SRo",344,0.227543046829765
"26","US-Syv",344,0.712574595466629
"27","US-Ton",344,0.38675633350713
"28","ZA-Kru",344,0.686026052963519
"29","DE-Hai",344,0.532323402041088
"30","FR-LBr",344,0.198768388785997
"31","IT-Cpz",344,0.794807553305261
"32","US-Me2",344,0.5590704369469
"33","IT-Lav",344,0.249701781903902
"34","RU-Cok",344,0.287723066244832
"35","AT-Neu",344,0.394891867203013
"36","CH-Lae",344,0.486179204300159
"37","DE-Gri",344,0.201409227967772
"38","GF-Guy",344,0.0243723430837618
"39","IT-MBo",344,0.469777318957525
"40","IT-Noe",344,0.122961426617582
"41","IT-Ro2",344,0.144217160185887
"42","US-Blo",344,0.746610409273321
"43","US-GLE",344,0.771054255634503
"44","US-SRM",344,0.770235740829098
"45","US-Wkg",344,0.516740876349119
"46","BR-Sa1",344,0.212238448171594
"47","CH-Cha",344,0.606928812050461
"48","CH-Fru",344,0.582028352102026
"49","FR-Fon",344,0.540754383321461
"50","CZ-wet",344,0.489545979419408
"51","IT-Ro1",344,0.132369390263616
"52","US-Ha1",345,0.445530018579522
"53","US-PFa",345,0.672669286653943
"54","BE-Bra",345,0.787422317062107
"55","BE-Vie",345,0.671503802661823
"56","DE-Tha",345,0.66225504724077
"57","DK-Sor",345,0.410377670327096
"58","FI-Hyy",345,0.498306734857408
"59","IT-Col",345,0.525484347143624
"60","NL-Loo",345,0.501719628472671
"61","CH-Dav",345,0.703807258663998
"62","RU-Fyo",345,0.635032934899605
"63","US-NR1",345,0.737922996358071
"64","IT-Ren",345,0.702118583980827
"65","US-MMS",345,0.498346001436353
"66","US-WCr",345,0.383009047898291
"67","CA-Man",345,0.391477394668788
"68","DK-ZaH",345,0.30031856818921
"69","FR-Pue",345,0.42907638257243
"70","US-Los",345,0.736168439222613
"71","US-UMB",345,0.487540514610247
"72","US-Var",345,0.488094118621784
"73","AU-How",345,0.553603960554293
"74","AU-Tum",345,0.0890571873022472
"75","FI-Sod",345,0.304596831124921
"76","IT-SRo",345,0.228588433906379
"77","US-Syv",345,0.711497308009255
"78","US-Ton",345,0.386801218293952
"79","ZA-Kru",345,0.684992360050789
"80","DE-Hai",345,0.531173094834667
"81","FR-LBr",345,0.199383938546023
"82","IT-Cpz",345,0.794215284707439
"83","US-Me2",345,0.557112898631268
"84","IT-Lav",345,0.255203317436788
"85","RU-Cok",345,0.288508616523051
