"","sites","half.time","jama"
"1","US-Ha1",24,0.669467478776351
"2","US-PFa",24,0.872422741542258
"3","BE-Bra",24,0.809635452504582
"4","BE-Vie",24,0.753471790921195
"5","DE-Tha",24,0.610378866305512
"6","DK-Sor",24,0.217904149018501
"7","FI-Hyy",24,0.40199595680061
"8","IT-Col",24,0.575218570888729
"9","NL-Loo",24,0.695393720641292
"10","CH-Dav",24,0.483155669204813
"11","RU-Fyo",24,0.689506868072564
"12","US-NR1",24,0.836417534974846
"13","IT-Ren",24,0.771444975203565
"14","US-MMS",24,0.297333698363932
"15","US-WCr",24,0.657350600914919
"16","CA-Man",24,0.49243934267538
"17","DK-ZaH",24,0.452052853689235
"18","FR-Pue",24,0.44761826558312
"19","US-Los",24,0.728201765339623
"20","US-UMB",24,0.432334059886338
"21","US-Var",24,0.860974826626133
"22","AU-How",24,0.600418586520439
"23","AU-Tum",24,0.605238930170666
"24","FI-Sod",24,0.771336856432502
"25","IT-SRo",24,0.653613573832662
"26","US-Syv",24,0.882475295613226
"27","US-Ton",24,0.567124599142476
"28","ZA-Kru",24,0.831938538427556
"29","DE-Hai",24,0.626479331192954
"30","FR-LBr",24,0.519052037776302
"31","IT-Cpz",24,0.304024366015539
"32","US-Me2",24,0.142048599990265
"33","IT-Lav",24,0.229026382479402
"34","RU-Cok",24,0.696873615287064
"35","AT-Neu",24,0.531352746037529
"36","CH-Lae",24,0.647248330768462
"37","DE-Gri",24,0.193308265104414
"38","GF-Guy",24,0.469544645160429
"39","IT-MBo",24,0.275115788706867
"40","IT-Noe",24,0.675612522208975
"41","IT-Ro2",24,0.229525785805108
"42","US-Blo",24,0.654038564890003
"43","US-GLE",24,0.928608583695956
"44","US-SRM",24,0.817789660153518
"45","US-Wkg",24,0.497910541644365
"46","BR-Sa1",24,0.647806648828085
"47","CH-Cha",24,0.935368723483909
"48","CH-Fru",24,0.74832763455272
"49","FR-Fon",24,0.121858082273205
"50","CZ-wet",24,0.238592477187512
"51","IT-Ro1",24,0.707016679906211
"52","US-Ha1",25,0.682518791032198
"53","US-PFa",25,0.879217073655186
"54","BE-Bra",25,0.82184042153277
"55","BE-Vie",25,0.766360509097298
"56","DE-Tha",25,0.626664111394903
"57","DK-Sor",25,0.229578097493387
"58","FI-Hyy",25,0.412532148661549
"59","IT-Col",25,0.583284802507229
"60","NL-Loo",25,0.704357869833645
"61","CH-Dav",25,0.500479888600325
"62","RU-Fyo",25,0.699268580780785
"63","US-NR1",25,0.845125267963801
"64","IT-Ren",25,0.782789116099173
"65","US-MMS",25,0.307791805348185
"66","US-WCr",25,0.666684719615925
"67","CA-Man",25,0.505713337824935
"68","DK-ZaH",25,0.457937806587756
"69","FR-Pue",25,0.44454861648507
