"","sites","half.time","jama"
"1","US-Ha1",199,0.631109402719433
"2","US-PFa",199,0.855540506375584
"3","BE-Bra",199,0.878281322688358
"4","BE-Vie",199,0.797075720911358
"5","DE-Tha",199,0.790067197327505
"6","DK-Sor",199,0.478325042890558
"7","FI-Hyy",199,0.609813316451394
"8","IT-Col",199,0.639926027789428
"9","NL-Loo",199,0.702400591458372
"10","CH-Dav",199,0.816597964070928
"11","RU-Fyo",199,0.811304180828455
"12","US-NR1",199,0.85462715126383
"13","IT-Ren",199,0.84525392462235
"14","US-MMS",199,0.579323754848338
"15","US-WCr",199,0.683312758468129
"16","CA-Man",199,0.736754306221813
"17","DK-ZaH",199,0.307179274286076
"18","FR-Pue",199,0.574240230769942
"19","US-Los",199,0.853293520811883
"20","US-UMB",199,0.622662067029322
"21","US-Var",199,0.544133461258374
"22","AU-How",199,0.68279623044257
"23","AU-Tum",199,0.391804900948541
"24","FI-Sod",199,0.690190985209305
"25","IT-SRo",199,0.194239202692849
"26","US-Syv",199,0.868287753054199
"27","US-Ton",199,0.386863376092546
"28","ZA-Kru",199,0.828903811834386
"29","DE-Hai",199,0.732518781073213
"30","FR-LBr",199,0.0913295903699013
"31","IT-Cpz",199,0.791519317880929
"32","US-Me2",199,0.650397582766632
"33","IT-Lav",199,0.354198182060269
"34","RU-Cok",199,0.264479985160509
"35","AT-Neu",199,0.537780556579131
"36","CH-Lae",199,0.666047954103225
"37","DE-Gri",199,0.292379494866681
"38","GF-Guy",199,0.0737807245836922
"39","IT-MBo",199,0.467791017072942
"40","IT-Noe",199,0.159944121937343
"41","IT-Ro2",199,0.272788846345312
"42","US-Blo",199,0.791318674611532
"43","US-GLE",199,0.863899452652398
"44","US-SRM",199,0.84550741482981
"45","US-Wkg",199,0.593013208608479
"46","BR-Sa1",199,-0.106309056945129
"47","CH-Cha",199,0.829790924970728
"48","CH-Fru",199,0.77829940482579
"49","FR-Fon",199,0.553782489544189
"50","CZ-wet",199,0.556294825111551
"51","IT-Ro1",199,0.160094714387832
"52","US-Ha1",200,0.62963168373078
"53","US-PFa",200,0.854532333581626
"54","BE-Bra",200,0.877875190005253
"55","BE-Vie",200,0.796028390893629
"56","DE-Tha",200,0.789342776045122
"57","DK-Sor",200,0.477880264916969
"58","FI-Hyy",200,0.609101760544641
"59","IT-Col",200,0.638016579447639
"60","NL-Loo",200,0.700877858619748
"61","CH-Dav",200,0.815821610308567
"62","RU-Fyo",200,0.810703594003257
"63","US-NR1",200,0.85368685508289
"64","IT-Ren",200,0.844455728388492
"65","US-MMS",200,0.578205738226966
"66","US-WCr",200,0.68099050907476
"67","CA-Man",200,0.733518650680738
"68","DK-ZaH",200,0.306669719364565
"69","FR-Pue",200,0.573567528881131
"70","US-Los",200,0.85242809094497
"71","US-UMB",200,0.621684838585893
"72","US-Var",200,0.543344128476089
"73","AU-How",200,0.68177291148558
"74","AU-Tum",200,0.375386489251784
"75","FI-Sod",200,0.686381254305648
"76","IT-SRo",200,0.195047760112155
"77","US-Syv",200,0.867324728122779
"78","US-Ton",200,0.386843159082588
"79","ZA-Kru",200,0.827824358672282
"80","DE-Hai",200,0.73102406160219
"81","FR-LBr",200,0.0588618966605607
"82","IT-Cpz",200,0.791754166131494
"83","US-Me2",200,0.649769477514116
"84","IT-Lav",200,0.354767669740404
"85","RU-Cok",200,0.26348940678211
"86","AT-Neu",200,0.537324491667711
"87","CH-Lae",200,0.664984837135104
