"","sites","half.time","jama"
"1","US-Ha1",351,0.439339593098893
"2","US-PFa",351,0.664111921827065
"3","BE-Bra",351,0.78394178518524
"4","BE-Vie",351,0.666859006012289
"5","DE-Tha",351,0.657617568372141
"6","DK-Sor",351,0.408029131981438
"7","FI-Hyy",351,0.49454380397791
"8","IT-Col",351,0.521054502466416
"9","NL-Loo",351,0.494641835324445
"10","CH-Dav",351,0.699047269420427
"11","RU-Fyo",351,0.627599147270294
"12","US-NR1",351,0.733527998611245
"13","IT-Ren",351,0.696078377700076
"14","US-MMS",351,0.495751593989725
"15","US-WCr",351,0.375017341541847
"16","CA-Man",351,0.383252198373129
"17","DK-ZaH",351,0.300126209764082
"18","FR-Pue",351,0.420722009109834
"19","US-Los",351,0.732198403713241
"20","US-UMB",351,0.482465798460653
"21","US-Var",351,0.487413852324995
"22","AU-How",351,0.549263692091509
"23","AU-Tum",351,0.0954680528434863
"24","FI-Sod",351,0.296316654953925
"25","IT-SRo",351,0.229530182616746
"26","US-Syv",351,0.704968581436979
"27","US-Ton",351,0.38679329983784
"28","ZA-Kru",351,0.679198570754165
"29","DE-Hai",351,0.524742988536984
"30","FR-LBr",351,0.20445101746753
"31","IT-Cpz",351,0.793106315832892
"32","US-Me2",351,0.552782992747219
"33","IT-Lav",351,0.256836930445585
"34","RU-Cok",351,0.290176997425507
"35","AT-Neu",351,0.389912597757966
"36","CH-Lae",351,0.479296892817603
"37","DE-Gri",351,0.196412523459127
"38","GF-Guy",351,0.0289613550350038
"39","IT-MBo",351,0.468688281687753
"40","IT-Noe",351,0.122018972435158
"41","IT-Ro2",351,0.140216820784559
"42","US-Blo",351,0.745280171215837
"43","US-GLE",351,0.767111680075678
"44","US-SRM",351,0.766951413612551
"45","US-Wkg",351,0.514262482065081
"46","BR-Sa1",351,0.222887704389176
"47","CH-Cha",351,0.597171033061727
"48","CH-Fru",351,0.575430802084573
"49","FR-Fon",351,0.540110945621693
"50","CZ-wet",351,0.486271988042488
"51","IT-Ro1",351,0.13142415709862
"52","US-Ha1",352,0.43892168991785
"53","US-PFa",352,0.662662528767958
"54","BE-Bra",352,0.783305514915315
"55","BE-Vie",352,0.666268650181905
"56","DE-Tha",352,0.657023058668738
"57","DK-Sor",352,0.4075847659774
"58","FI-Hyy",352,0.493985190039638
"59","IT-Col",352,0.520257284186659
"60","NL-Loo",352,0.493213577220351
"61","CH-Dav",352,0.698140365770848
"62","RU-Fyo",352,0.626106613705134
"63","US-NR1",352,0.732902738066497
"64","IT-Ren",352,0.695257034698901
"65","US-MMS",352,0.494448984463891
"66","US-WCr",352,0.373313195305847
"67","CA-Man",352,0.381656733414726
"68","DK-ZaH",352,0.30027355195221
"69","FR-Pue",352,0.419226887198645
"70","US-Los",352,0.731500846360006
"71","US-UMB",352,0.481897976251973
"72","US-Var",352,0.4872226429447
"73","AU-How",352,0.548623264028991
"74","AU-Tum",352,0.0957107779403833
"75","FI-Sod",352,0.295090394587651
"76","IT-SRo",352,0.230265445159
"77","US-Syv",352,0.704069664998779
"78","US-Ton",352,0.386748101791229
"79","ZA-Kru",352,0.67909963908888
"80","DE-Hai",352,0.523659996169485
"81","FR-LBr",352,0.203437548990079
"82","IT-Cpz",352,0.792721721226974
"83","US-Me2",352,0.552080699535114
"84","IT-Lav",352,0.256442713690088
"85","RU-Cok",352,0.290395192250258
"86","AT-Neu",352,0.387203434502524
"87","CH-Lae",352,0.478357718187047
"88","DE-Gri",352,0.198756751292465
"89","GF-Guy",352,0.0312181103008009
"90","IT-MBo",352,0.468509013268397
"91","IT-Noe",352,0.122198699704944
"92","IT-Ro2",352,0.141790898178784
"93","US-Blo",352,0.744580023374373
"94","US-GLE",352,0.767003448949223
"95","US-SRM",352,0.7663461752158
"96","US-Wkg",352,0.513801897496087
"97","BR-Sa1",352,0.224401468681247
"98","CH-Cha",352,0.595657159616615
"99","CH-Fru",352,0.576788127628946
"100","FR-Fon",352,0.540110287270089
"101","CZ-wet",352,0.484047501149341
"102","IT-Ro1",352,0.132357023563487
"103","US-Ha1",353,0.437919557513116
"104","US-PFa",353,0.661239022634438
"105","BE-Bra",353,0.78250745204188
"106","BE-Vie",353,0.665399620490154
"107","DE-Tha",353,0.655976091441489
"108","DK-Sor",353,0.407207819467342
"109","FI-Hyy",353,0.493337115603858
"110","IT-Col",353,0.51966883501919
"111","NL-Loo",353,0.492292100940913
"112","CH-Dav",353,0.69707114458052
"113","RU-Fyo",353,0.624679152146362
"114","US-NR1",353,0.73248282727677
"115","IT-Ren",353,0.693997245794116
"116","US-MMS",353,0.493800562792033
"117","US-WCr",353,0.370996713283461
"118","CA-Man",353,0.380784533004205
"119","DK-ZaH",353,0.299794820073253
"120","FR-Pue",353,0.417954519117919
"121","US-Los",353,0.730864853701129
"122","US-UMB",353,0.48098325691345
"123","US-Var",353,0.487029261891473
"124","AU-How",353,0.547965202749339
"125","AU-Tum",353,0.0811499658722333
"126","FI-Sod",353,0.293583920029865
"127","IT-SRo",353,0.228981778880647
"128","US-Syv",353,0.702957018885484
"129","US-Ton",353,0.386634419075316
"130","ZA-Kru",353,0.677036789074618
"131","DE-Hai",353,0.522172402985388
"132","FR-LBr",353,0.204675843143915
"133","IT-Cpz",353,0.792945867481254
"134","US-Me2",353,0.550526920737623
"135","IT-Lav",353,0.250559520586027
"136","RU-Cok",353,0.291052728539156
"137","AT-Neu",353,0.387504121484404
"138","CH-Lae",353,0.477728611574258
"139","DE-Gri",353,0.199153254982743
"140","GF-Guy",353,0.0325301271933459
"141","IT-MBo",353,0.468339651082943
"142","IT-Noe",353,0.12166020035356
"143","IT-Ro2",353,0.138711907857553
"144","US-Blo",353,0.743578604545551
"145","US-GLE",353,0.76590641191127
"146","US-SRM",353,0.766004840845101
"147","US-Wkg",353,0.513435167326737
"148","BR-Sa1",353,0.225967741706132
"149","CH-Cha",353,0.594442054942549
"150","CH-Fru",353,0.575964872502161
"151","FR-Fon",353,0.539732743625377
"152","CZ-wet",353,0.484680628557121
"153","IT-Ro1",353,0.132032242966456
"154","US-Ha1",354,0.43691539271013
"155","US-PFa",354,0.65980522274574
"156","BE-Bra",354,0.782051745399307
"157","BE-Vie",354,0.664931721019268
"158","DE-Tha",354,0.655256823302459
"159","DK-Sor",354,0.406959471573091
"160","FI-Hyy",354,0.492715764999785
"161","IT-Col",354,0.51916497945644
"162","NL-Loo",354,0.491050892414376
"163","CH-Dav",354,0.696213460264978
"164","RU-Fyo",354,0.623319827093889
"165","US-NR1",354,0.73155723499614
"166","IT-Ren",354,0.693150771867235
"167","US-MMS",354,0.493874511918957
"168","US-WCr",354,0.370303983016662
"169","CA-Man",354,0.379555477454354
"170","DK-ZaH",354,0.299883611792108
"171","FR-Pue",354,0.41667316798373
"172","US-Los",354,0.730128176977008
"173","US-UMB",354,0.480160695481203
"174","US-Var",354,0.486964844733528
"175","AU-How",354,0.547173245826941
"176","AU-Tum",354,0.0939730807479493
"177","FI-Sod",354,0.2923286188312
"178","IT-SRo",354,0.230558127901122
"179","US-Syv",354,0.701888010680093
"180","US-Ton",354,0.386797193733145
"181","ZA-Kru",354,0.675644303959183
"182","DE-Hai",354,0.521570747641937
"183","FR-LBr",354,0.204839988819962
"184","IT-Cpz",354,0.792121106857989
"185","US-Me2",354,0.549757677862944
"186","IT-Lav",354,0.24992381651988
"187","RU-Cok",354,0.291327327540623
"188","AT-Neu",354,0.385976190291724
"189","CH-Lae",354,0.476146974207095
"190","DE-Gri",354,0.195221096254686
"191","GF-Guy",354,0.030785825795239
"192","IT-MBo",354,0.468132528631804
"193","IT-Noe",354,0.121164718014691
"194","IT-Ro2",354,0.138553597323083
"195","US-Blo",354,0.744585059381914
"196","US-GLE",354,0.76536789570794
"197","US-SRM",354,0.76556809376367
"198","US-Wkg",354,0.513270262381071
"199","BR-Sa1",354,0.226357978896408
"200","CH-Cha",354,0.592924059916561
"201","CH-Fru",354,0.573715716748799
"202","FR-Fon",354,0.539856436324165
"203","CZ-wet",354,0.485808305338833
"204","IT-Ro1",354,0.131516462352532
"205","US-Ha1",355,0.435666053464581
"206","US-PFa",355,0.658346885581039
"207","BE-Bra",355,0.781308245681811
"208","BE-Vie",355,0.664073836792304
"209","DE-Tha",355,0.654499732958457
"210","DK-Sor",355,0.406416486957215
"211","FI-Hyy",355,0.492028526335235
"212","IT-Col",355,0.517453815814272
"213","NL-Loo",355,0.489596192712779
"214","CH-Dav",355,0.695147768731677
"215","RU-Fyo",355,0.62224502542459
"216","US-NR1",355,0.731053037604663
"217","IT-Ren",355,0.692139451001697
"218","US-MMS",355,0.493135681639318
"219","US-WCr",355,0.368532652803553
"220","CA-Man",355,0.37813346842195
"221","DK-ZaH",355,0.299301336220955
"222","FR-Pue",355,0.415135252876358
"223","US-Los",355,0.729480186320621
"224","US-UMB",355,0.479450496856713
"225","US-Var",355,0.486884373951793
"226","AU-How",355,0.546406641020957
"227","AU-Tum",355,0.0835391584316518
"228","FI-Sod",355,0.291028403299684
"229","IT-SRo",355,0.230687332478365
"230","US-Syv",355,0.700850295743625
"231","US-Ton",355,0.386940002304348
"232","ZA-Kru",355,0.674971034071231
"233","DE-Hai",355,0.520311086181178
"234","FR-LBr",355,0.206722783255296
"235","IT-Cpz",355,0.792132648184589
"236","US-Me2",355,0.54964268434418
"237","IT-Lav",355,0.251080877238816
"238","RU-Cok",355,0.291810924899983
"239","AT-Neu",355,0.385236782339713
"240","CH-Lae",355,0.475100637275872
"241","DE-Gri",355,0.197896883630391
"242","GF-Guy",355,0.0295380308018044
"243","IT-MBo",355,0.467976810822138
"244","IT-Noe",355,0.119073591917676
"245","IT-Ro2",355,0.136843850570892
"246","US-Blo",355,0.744547938870898
"247","US-GLE",355,0.765327208572576
"248","US-SRM",355,0.765178565301474
"249","US-Wkg",355,0.512685367384061
"250","BR-Sa1",355,0.228921905646324
"251","CH-Cha",355,0.591625902246595
"252","CH-Fru",355,0.573313560801763
"253","FR-Fon",355,0.539597123599544
"254","CZ-wet",355,0.484791080584676
"255","IT-Ro1",355,0.131781144987547
"256","US-Ha1",356,0.435153772141735
"257","US-PFa",356,0.656867692171596
"258","BE-Bra",356,0.780767879611979
"259","BE-Vie",356,0.663285273385986
"260","DE-Tha",356,0.653698082504456
"261","DK-Sor",356,0.405931858161063
"262","FI-Hyy",356,0.491456423290316
"263","IT-Col",356,0.517993229636176
"264","NL-Loo",356,0.488583199608891
"265","CH-Dav",356,0.694375804967545
"266","RU-Fyo",356,0.621125845930209
"267","US-NR1",356,0.73022537631333
"268","IT-Ren",356,0.691275042838363
"269","US-MMS",356,0.492875448055764
"270","US-WCr",356,0.36713616171477
"271","CA-Man",356,0.375856350426179
"272","DK-ZaH",356,0.299698721052441
"273","FR-Pue",356,0.413571961750219
"274","US-Los",356,0.728815612338489
"275","US-UMB",356,0.478577171224021
"276","US-Var",356,0.487023878735697
"277","AU-How",356,0.545860317819485
"278","AU-Tum",356,0.090815270310401
"279","FI-Sod",356,0.289566630553461
"280","IT-SRo",356,0.230291943559533
"281","US-Syv",356,0.699809526214003
"282","US-Ton",356,0.386729101015166
"283","ZA-Kru",356,0.674431143555999
"284","DE-Hai",356,0.519076125860673
"285","FR-LBr",356,0.206603347988272
"286","IT-Cpz",356,0.791950876154514
"287","US-Me2",356,0.549202846246287
"288","IT-Lav",356,0.250069023163326
"289","RU-Cok",356,0.291629416931218
"290","AT-Neu",356,0.385181848799714
"291","CH-Lae",356,0.474203335881147
"292","DE-Gri",356,0.198182379931583
"293","GF-Guy",356,0.0291211908697972
"294","IT-MBo",356,0.46779155112881
"295","IT-Noe",356,0.119531875304577
"296","IT-Ro2",356,0.135557559524294
"297","US-Blo",356,0.743736550169804
"298","US-GLE",356,0.764266601051661
"299","US-SRM",356,0.764473975206774
"300","US-Wkg",356,0.512958171529225
"301","BR-Sa1",356,0.230080756758253
"302","CH-Cha",356,0.590205438999478
"303","CH-Fru",356,0.57027591778505
"304","FR-Fon",356,0.539640137246687
"305","CZ-wet",356,0.484029929097081
"306","IT-Ro1",356,0.131609628213869
"307","US-Ha1",357,0.434015037940731
"308","US-PFa",357,0.655485705615304
"309","BE-Bra",357,0.780076688056854
"310","BE-Vie",357,0.66280462791303
"311","DE-Tha",357,0.653079624605367
"312","DK-Sor",357,0.405451969508415
