"","sites","half.time","jama"
"1","US-Ha1",271,0.528398589262571
"2","US-PFa",271,0.773415139514861
"3","BE-Bra",271,0.83472470859295
"4","BE-Vie",271,0.731075217377079
"5","DE-Tha",271,0.72428786194874
"6","DK-Sor",271,0.443545521043587
"7","FI-Hyy",271,0.551849191047162
"8","IT-Col",271,0.579544000494421
"9","NL-Loo",271,0.597930751100985
"10","CH-Dav",271,0.766000511379385
"11","RU-Fyo",271,0.729424129933339
"12","US-NR1",271,0.79412280569619
"13","IT-Ren",271,0.775414079972771
"14","US-MMS",271,0.53550732143032
"15","US-WCr",271,0.519726071806929
"16","CA-Man",271,0.526627609786448
"17","DK-ZaH",271,0.302333824705891
"18","FR-Pue",271,0.518304279010533
"19","US-Los",271,0.791944404623767
"20","US-UMB",271,0.555179040683404
"21","US-Var",271,0.502972375021622
"22","AU-How",271,0.613265702787679
"23","AU-Tum",271,0.134657240214319
"24","FI-Sod",271,0.450653722192879
"25","IT-SRo",271,0.21032465462977
"26","US-Syv",271,0.793631394495301
"27","US-Ton",271,0.385730282771938
"28","ZA-Kru",271,0.759620902691031
"29","DE-Hai",271,0.623066151477872
"30","FR-LBr",271,0.129300614828917
"31","IT-Cpz",271,0.803978368764201
"32","US-Me2",271,0.610714393363648
"33","IT-Lav",271,0.305153507750801
"34","RU-Cok",271,0.26421247514288
"35","AT-Neu",271,0.463088904568051
"36","CH-Lae",271,0.570021335913762
"37","DE-Gri",271,0.221869611109261
"38","GF-Guy",271,0.0156847039807283
"39","IT-MBo",271,0.478471991391072
"40","IT-Noe",271,0.133974765196182
"41","IT-Ro2",271,0.200472209523935
"42","US-Blo",271,0.769440142931885
"43","US-GLE",271,0.816497996461668
"44","US-SRM",271,0.806369694009573
"45","US-Wkg",271,0.546640439990732
"46","BR-Sa1",271,0.0686236106779195
"47","CH-Cha",271,0.715267546887255
"48","CH-Fru",271,0.670232498493725
"49","FR-Fon",271,0.549185765333833
"50","CZ-wet",271,0.526685098750616
"51","IT-Ro1",271,0.141693983617331
"52","US-Ha1",272,0.52724969893619
"53","US-PFa",272,0.772146710743764
"54","BE-Bra",272,0.834276998909843
"55","BE-Vie",272,0.730119897479282
"56","DE-Tha",272,0.723295070389564
"57","DK-Sor",272,0.443373170003712
"58","FI-Hyy",272,0.550957162941467
"59","IT-Col",272,0.578700328381516
"60","NL-Loo",272,0.596543495912043
"61","CH-Dav",272,0.765353306302912
"62","RU-Fyo",272,0.728505356284655
"63","US-NR1",272,0.793201352690103
"64","IT-Ren",272,0.774346244240758
"65","US-MMS",272,0.535258436959199
"66","US-WCr",272,0.51775306489471
"67","CA-Man",272,0.524424885143355
"68","DK-ZaH",272,0.302315680343651
"69","FR-Pue",272,0.517314423872958
"70","US-Los",272,0.791138031760024
"71","US-UMB",272,0.554220641306369
"72","US-Var",272,0.502730558465348
"73","AU-How",272,0.612355253525948
"74","AU-Tum",272,0.135063498923959
"75","FI-Sod",272,0.447964039395193
"76","IT-SRo",272,0.210869220439583
"77","US-Syv",272,0.792721556303296
"78","US-Ton",272,0.385943118022478
"79","ZA-Kru",272,0.758628534237827
"80","DE-Hai",272,0.621288239469464
"81","FR-LBr",272,0.132647113772111
"82","IT-Cpz",272,0.803785512200187
"83","US-Me2",272,0.610351719390621
"84","IT-Lav",272,0.303268658398974
"85","RU-Cok",272,0.264926885244337
"86","AT-Neu",272,0.461951667590779
"87","CH-Lae",272,0.568521903826623
"88","DE-Gri",272,0.22189547289756
