"","sites","half.time","jama"
"1","US-Ha1",293,0.501539272435702
"2","US-PFa",293,0.744826491539977
"3","BE-Bra",293,0.820944694590173
"4","BE-Vie",293,0.712062793202581
"5","DE-Tha",293,0.704990031381618
"6","DK-Sor",293,0.433105590620572
"7","FI-Hyy",293,0.534931989132296
"8","IT-Col",293,0.56281423111947
"9","NL-Loo",293,0.568243975950707
"10","CH-Dav",293,0.748412011322737
"11","RU-Fyo",293,0.701507418610318
"12","US-NR1",293,0.776568327764319
"13","IT-Ren",293,0.753419019960756
"14","US-MMS",293,0.523435766029494
"15","US-WCr",293,0.474927160396814
"16","CA-Man",293,0.478373260284659
"17","DK-ZaH",293,0.301651923401109
"18","FR-Pue",293,0.494778622268852
"19","US-Los",293,0.774381189665753
"20","US-UMB",293,0.534422065126244
"21","US-Var",293,0.496859200853516
"22","AU-How",293,0.594241911238096
"23","AU-Tum",293,0.110300771154974
"24","FI-Sod",293,0.397625057416127
"25","IT-SRo",293,0.216262835035773
"26","US-Syv",293,0.769062633433818
"27","US-Ton",293,0.386190016033458
"28","ZA-Kru",293,0.737377049451539
"29","DE-Hai",293,0.593594980045764
"30","FR-LBr",293,0.155720358817489
"31","IT-Cpz",293,0.803109134332353
"32","US-Me2",293,0.596601082449928
"33","IT-Lav",293,0.290255017381213
"34","RU-Cok",293,0.272281940766661
"35","AT-Neu",293,0.442322884790881
"36","CH-Lae",293,0.542938338470599
"37","DE-Gri",293,0.211764134412044
"38","GF-Guy",293,0.0247582249093299
"39","IT-MBo",293,0.477206447546608
"40","IT-Noe",293,0.130308544024555
"41","IT-Ro2",293,0.178927393435689
"42","US-Blo",293,0.761379060585742
"43","US-GLE",293,0.801976400421059
"44","US-SRM",293,0.795025730793877
"45","US-Wkg",293,0.535716728353329
"46","BR-Sa1",293,0.119304821502095
"47","CH-Cha",293,0.681555454095011
"48","CH-Fru",293,0.640817029879163
"49","FR-Fon",293,0.546987231787901
"50","CZ-wet",293,0.515525861002001
"51","IT-Ro1",293,0.137986823776901
"52","US-Ha1",294,0.500283347541246
"53","US-PFa",294,0.743541233616939
"54","BE-Bra",294,0.820376171481401
"55","BE-Vie",294,0.711495301036281
"56","DE-Tha",294,0.703982788746396
"57","DK-Sor",294,0.432870810373277
"58","FI-Hyy",294,0.534066847493387
"59","IT-Col",294,0.561634449532701
"60","NL-Loo",294,0.566618488513726
"61","CH-Dav",294,0.747611241456396
"62","RU-Fyo",294,0.700448187047003
"63","US-NR1",294,0.775878722379549
"64","IT-Ren",294,0.752308356116023
"65","US-MMS",294,0.52374207760359
"66","US-WCr",294,0.472540782526417
"67","CA-Man",294,0.476384549479836
"68","DK-ZaH",294,0.301479974286232
"69","FR-Pue",294,0.493658500162376
"70","US-Los",294,0.773643071739564
"71","US-UMB",294,0.533386105387209
"72","US-Var",294,0.496634393898415
"73","AU-How",294,0.593386463480076
"74","AU-Tum",294,0.111458796540252
"75","FI-Sod",294,0.395467963247087
"76","IT-SRo",294,0.21626426784082
"77","US-Syv",294,0.767983067160907
"78","US-Ton",294,0.386284860411876
"79","ZA-Kru",294,0.736778921720126
"80","DE-Hai",294,0.592279215847252
"81","FR-LBr",294,0.157593391875527
"82","IT-Cpz",294,0.802864613102539
"83","US-Me2",294,0.596708924164656
"84","IT-Lav",294,0.290337765648478
"85","RU-Cok",294,0.27186592130183
"86","AT-Neu",294,0.441366049807065
"87","CH-Lae",294,0.541963379637221
"88","DE-Gri",294,0.211245833438126
"89","GF-Guy",294,0.0165390240753787
"90","IT-MBo",294,0.477103741179634
"91","IT-Noe",294,0.12935123116972
"92","IT-Ro2",294,0.17861964860594
"93","US-Blo",294,0.76238701437131
"94","US-GLE",294,0.801512399369781
"95","US-SRM",294,0.794652832453338
"96","US-Wkg",294,0.535714569921867
"97","BR-Sa1",294,0.120987954368232
"98","CH-Cha",294,0.679774427422894
"99","CH-Fru",294,0.640247191858674
"100","FR-Fon",294,0.546922351309576
"101","CZ-wet",294,0.515311469560757
"102","IT-Ro1",294,0.138717532600723
"103","US-Ha1",295,0.499257592243317
"104","US-PFa",295,0.742195165141937
"105","BE-Bra",295,0.819567516637107
"106","BE-Vie",295,0.710484898919752
"107","DE-Tha",295,0.703292854465241
"108","DK-Sor",295,0.432362126072467
"109","FI-Hyy",295,0.53347919289695
"110","IT-Col",295,0.560539087242629
"111","NL-Loo",295,0.565593162892091
"112","CH-Dav",295,0.74621137889672
"113","RU-Fyo",295,0.699097770905748
"114","US-NR1",295,0.775080874081839
"115","IT-Ren",295,0.751400825012927
"116","US-MMS",295,0.522447278114624
"117","US-WCr",295,0.471386051657023
"118","CA-Man",295,0.474303132410009
"119","DK-ZaH",295,0.301571040700931
"120","FR-Pue",295,0.492673322000528
"121","US-Los",295,0.772836884903575
"122","US-UMB",295,0.532261493533778
"123","US-Var",295,0.496312033678537
"124","AU-How",295,0.592622568432267
"125","AU-Tum",295,0.104372607890264
"126","FI-Sod",295,0.393064344637041
"127","IT-SRo",295,0.21657984891958
"128","US-Syv",295,0.766779905392694
"129","US-Ton",295,0.386179672706393
"130","ZA-Kru",295,0.735533361689257
"131","DE-Hai",295,0.590839903894189
"132","FR-LBr",295,0.158664331477604
"133","IT-Cpz",295,0.80296833855614
"134","US-Me2",295,0.594208490813157
"135","IT-Lav",295,0.287932065994648
"136","RU-Cok",295,0.272902527002789
"137","AT-Neu",295,0.438187276233384
"138","CH-Lae",295,0.540298870625414
"139","DE-Gri",295,0.209723951126377
"140","GF-Guy",295,0.0250585296470295
"141","IT-MBo",295,0.477007971894947
"142","IT-Noe",295,0.129360485522092
"143","IT-Ro2",295,0.179549162379716
"144","US-Blo",295,0.761979028397739
"145","US-GLE",295,0.801117929634926
"146","US-SRM",295,0.79406701429855
"147","US-Wkg",295,0.535174797523991
"148","BR-Sa1",295,0.12304217016621
"149","CH-Cha",295,0.678547572389143
"150","CH-Fru",295,0.639004207979343
"151","FR-Fon",295,0.546602194229945
"152","CZ-wet",295,0.513472632276716
"153","IT-Ro1",295,0.138430688540508
"154","US-Ha1",296,0.497358306401371
"155","US-PFa",296,0.7408530115579
"156","BE-Bra",296,0.819131364813452
"157","BE-Vie",296,0.709697118090489
"158","DE-Tha",296,0.702523844842019
"159","DK-Sor",296,0.431839709626902
"160","FI-Hyy",296,0.532756717174463
"161","IT-Col",296,0.55911902714911
"162","NL-Loo",296,0.564442499850352
"163","CH-Dav",296,0.745632633666255
"164","RU-Fyo",296,0.697589253761311
"165","US-NR1",296,0.774332528326622
"166","IT-Ren",296,0.749965850403227
"167","US-MMS",296,0.52181878523959
"168","US-WCr",296,0.46961326748406
"169","CA-Man",296,0.473031224956601
"170","DK-ZaH",296,0.301487656528181
"171","FR-Pue",296,0.491115427097701
"172","US-Los",296,0.772109806440054
"173","US-UMB",296,0.53177524330995
"174","US-Var",296,0.496119343598101
"175","AU-How",296,0.591768034000796
"176","AU-Tum",296,0.110746149404967
"177","FI-Sod",296,0.390937102984225
"178","IT-SRo",296,0.21694957125123
"179","US-Syv",296,0.765733865662676
"180","US-Ton",296,0.386340763774282
"181","ZA-Kru",296,0.734373255775226
"182","DE-Hai",296,0.589548333465703
"183","FR-LBr",296,0.15813704909339
"184","IT-Cpz",296,0.802898885394882
"185","US-Me2",296,0.592774785221552
"186","IT-Lav",296,0.285099147478207
"187","RU-Cok",296,0.272848346041727
"188","AT-Neu",296,0.437494316824124
"189","CH-Lae",296,0.539132296085224
"190","DE-Gri",296,0.210523337803438
"191","GF-Guy",296,0.0207710596957683
"192","IT-MBo",296,0.476907559152812
"193","IT-Noe",296,0.128044433875488
"194","IT-Ro2",296,0.178219133613125
"195","US-Blo",296,0.761307968961921
"196","US-GLE",296,0.800165018827632
"197","US-SRM",296,0.793645352544944
"198","US-Wkg",296,0.534868260985772
"199","BR-Sa1",296,0.124742349101855
"200","CH-Cha",296,0.676874354646421
"201","CH-Fru",296,0.636222079523977
"202","FR-Fon",296,0.546515684849547
"203","CZ-wet",296,0.515344241897451
"204","IT-Ro1",296,0.138453717912518
"205","US-Ha1",297,0.496735859785233
"206","US-PFa",297,0.739540303982409
"207","BE-Bra",297,0.818634558522565
"208","BE-Vie",297,0.70889688897128
"209","DE-Tha",297,0.701524326137647
"210","DK-Sor",297,0.431506889505859
"211","FI-Hyy",297,0.531850506080543
"212","IT-Col",297,0.559291677879829
"213","NL-Loo",297,0.562920055624067
"214","CH-Dav",297,0.744589298038358
"215","RU-Fyo",297,0.696870877762159
"216","US-NR1",297,0.773483223516343
"217","IT-Ren",297,0.749151858272253
"218","US-MMS",297,0.520748439010315
"219","US-WCr",297,0.467988633500758
"220","CA-Man",297,0.470592375147293
"221","DK-ZaH",297,0.30082025855885
"222","FR-Pue",297,0.490053257339136
"223","US-Los",297,0.771301640496492
"224","US-UMB",297,0.530540357561533
"225","US-Var",297,0.495877910532704
"226","AU-How",297,0.590846381457522
"227","AU-Tum",297,0.106911141581458
"228","FI-Sod",297,0.388910402778589
"229","IT-SRo",297,0.217136114978754
"230","US-Syv",297,0.76453320069992
"231","US-Ton",297,0.386513357806171
"232","ZA-Kru",297,0.733381371723245
"233","DE-Hai",297,0.588200032168154
"234","FR-LBr",297,0.158807660665625
"235","IT-Cpz",297,0.802667965250963
"236","US-Me2",297,0.59442529988438
"237","IT-Lav",297,0.28721387434868
"238","RU-Cok",297,0.272917994599681
"239","AT-Neu",297,0.436357509276428
"240","CH-Lae",297,0.538311174556316
"241","DE-Gri",297,0.209975276382432
"242","GF-Guy",297,0.0185467562483868
"243","IT-MBo",297,0.476548401780011
"244","IT-Noe",297,0.129105695604081
"245","IT-Ro2",297,0.177521817416738
"246","US-Blo",297,0.761105739015476
"247","US-GLE",297,0.799403723867586
"248","US-SRM",297,0.79319688369758
"249","US-Wkg",297,0.534478267853921
"250","BR-Sa1",297,0.127557215653044
"251","CH-Cha",297,0.675326116138144
"252","CH-Fru",297,0.635962043696157
"253","FR-Fon",297,0.546605668638728
"254","CZ-wet",297,0.512565504618024
"255","IT-Ro1",297,0.138348915756694
"256","US-Ha1",298,0.495501971998378
"257","US-PFa",298,0.738163096932711
"258","BE-Bra",298,0.817751386701038
"259","BE-Vie",298,0.708136322271715
"260","DE-Tha",298,0.700728581776067
"261","DK-Sor",298,0.431119039610856
"262","FI-Hyy",298,0.531053885285617
"263","IT-Col",298,0.558130159046661
"264","NL-Loo",298,0.561657836571487
"265","CH-Dav",298,0.744149905775441
"266","RU-Fyo",298,0.695361927941636
"267","US-NR1",298,0.772601829818133
"268","IT-Ren",298,0.748321370765241
"269","US-MMS",298,0.521403926330739
"270","US-WCr",298,0.463579766375692
"271","CA-Man",298,0.468471598412438
"272","DK-ZaH",298,0.301276114061197
"273","FR-Pue",298,0.488916691045738
"274","US-Los",298,0.770528947989365
"275","US-UMB",298,0.529692881898662
"276","US-Var",298,0.495577255558341
"277","AU-How",298,0.590038018030722
"278","AU-Tum",298,0.104733513503259
"279","FI-Sod",298,0.386764274401945
"280","IT-SRo",298,0.217002481357794
"281","US-Syv",298,0.763506997677261
"282","US-Ton",298,0.386324747358981
"283","ZA-Kru",298,0.732499578468771
"284","DE-Hai",298,0.587071215703207
"285","FR-LBr",298,0.161377487016193
"286","IT-Cpz",298,0.802399225611044
"287","US-Me2",298,0.592183759294701
"288","IT-Lav",298,0.28754775789963
"289","RU-Cok",298,0.273858088975183
"290","AT-Neu",298,0.43562550384782
"291","CH-Lae",298,0.536707800588826
"292","DE-Gri",298,0.209607422446371
"293","GF-Guy",298,0.0213035724968975
"294","IT-MBo",298,0.476681250020851
"295","IT-Noe",298,0.128441343697725
"296","IT-Ro2",298,0.175013889943926
"297","US-Blo",298,0.760700282993965
"298","US-GLE",298,0.799142653423834
"299","US-SRM",298,0.792579336643435
"300","US-Wkg",298,0.533599513380673
"301","BR-Sa1",298,0.129293326071071
"302","CH-Cha",298,0.673983230467477
"303","CH-Fru",298,0.636355455409327
"304","FR-Fon",298,0.546338732579006
"305","CZ-wet",298,0.512489361924558
"306","IT-Ro1",298,0.137717504620788
"307","US-Ha1",299,0.494274549552223
"308","US-PFa",299,0.736852657927667
"309","BE-Bra",299,0.817263298019266
"310","BE-Vie",299,0.707033135573508
"311","DE-Tha",299,0.699645735118177
"312","DK-Sor",299,0.430688286014467
"313","FI-Hyy",299,0.530282923904421
"314","IT-Col",299,0.558486924779492
"315","NL-Loo",299,0.560246716327367
"316","CH-Dav",299,0.74337253583926
"317","RU-Fyo",299,0.694275299829894
"318","US-NR1",299,0.771912383661053
"319","IT-Ren",299,0.747410780162054
"320","US-MMS",299,0.520263812797443
"321","US-WCr",299,0.463486664891735
"322","CA-Man",299,0.466676605983083
"323","DK-ZaH",299,0.301034139066543
"324","FR-Pue",299,0.48787204878412
"325","US-Los",299,0.769711876630886
"326","US-UMB",299,0.528619026815875
"327","US-Var",299,0.495337043011926
"328","AU-How",299,0.589215853965806
"329","AU-Tum",299,0.10756497429344
"330","FI-Sod",299,0.384756201857348
"331","IT-SRo",299,0.217390404562699
"332","US-Syv",299,0.762424644589664
