"","sites","half.time","jama"
"1","US-Ha1",358,0.432684920849274
"2","US-PFa",358,0.654034639440363
"3","BE-Bra",358,0.779298304792259
"4","BE-Vie",358,0.661893311089523
"5","DE-Tha",358,0.6522741657901
"6","DK-Sor",358,0.405174301438027
"7","FI-Hyy",358,0.490193720069547
"8","IT-Col",358,0.516826509610388
"9","NL-Loo",358,0.486258116615008
"10","CH-Dav",358,0.692721948511463
"11","RU-Fyo",358,0.618380134485695
"12","US-NR1",358,0.7288967303946
"13","IT-Ren",358,0.689316045897657
"14","US-MMS",358,0.491643695922364
"15","US-WCr",358,0.362197204602994
"16","CA-Man",358,0.373949221612544
"17","DK-ZaH",358,0.299411467384601
"18","FR-Pue",358,0.410994449193663
"19","US-Los",358,0.72746991425385
"20","US-UMB",358,0.476770259587864
"21","US-Var",358,0.486579100333721
"22","AU-How",358,0.544437296051313
"23","AU-Tum",358,0.0880412717695686
"24","FI-Sod",358,0.287064813814873
"25","IT-SRo",358,0.231576773185351
"26","US-Syv",358,0.697596927006416
"27","US-Ton",358,0.386659161035846
"28","ZA-Kru",358,0.671689956088473
"29","DE-Hai",358,0.51723920072783
"30","FR-LBr",358,0.207755273441218
"31","IT-Cpz",358,0.791207295570079
"32","US-Me2",358,0.547189321125698
"33","IT-Lav",358,0.250408562961647
"34","RU-Cok",358,0.292405206340554
"35","AT-Neu",358,0.383254200723067
"36","CH-Lae",358,0.472356530710454
"37","DE-Gri",358,0.198719315102656
"38","GF-Guy",358,0.0322371333844374
"39","IT-MBo",358,0.467377525478744
"40","IT-Noe",358,0.11937308168073
"41","IT-Ro2",358,0.13492880133463
"42","US-Blo",358,0.743007587110618
"43","US-GLE",358,0.762977286950677
"44","US-SRM",358,0.763597110764198
"45","US-Wkg",358,0.512259366858347
"46","BR-Sa1",358,0.233800684401557
"47","CH-Cha",358,0.587346236276363
"48","CH-Fru",358,0.569787013806688
"49","FR-Fon",358,0.539273669886367
"50","CZ-wet",358,0.481865817084613
"51","IT-Ro1",358,0.131834658627094
"52","US-Ha1",359,0.432328824181867
"53","US-PFa",359,0.652599572171316
"54","BE-Bra",359,0.778693914321065
"55","BE-Vie",359,0.660987530671828
"56","DE-Tha",359,0.651685133891267
"57","DK-Sor",359,0.404717410274167
"58","FI-Hyy",359,0.489483670812774
"59","IT-Col",359,0.515934988300236
"60","NL-Loo",359,0.485015489138002
"61","CH-Dav",359,0.691642308657033
"62","RU-Fyo",359,0.617290377049619
"63","US-NR1",359,0.728223906577701
