"","sites","half.time","jama"
"1","US-Ha1",133,0.736338048049632
"2","US-PFa",133,0.913566091618033
"3","BE-Bra",133,0.912365403066862
"4","BE-Vie",133,0.857851990623591
"5","DE-Tha",133,0.845031607676042
"6","DK-Sor",133,0.499158441614801
"7","FI-Hyy",133,0.652701029991941
"8","IT-Col",133,0.693009457784615
"9","NL-Loo",133,0.796683678682765
"10","CH-Dav",133,0.844928788896296
"11","RU-Fyo",133,0.860982799868629
"12","US-NR1",133,0.907845227834825
"13","IT-Ren",133,0.895712849888005
"14","US-MMS",133,0.619299662121566
"15","US-WCr",133,0.822899290479627
"16","CA-Man",133,0.845732269483893
"17","DK-ZaH",133,0.366172468442053
"18","FR-Pue",133,0.57421640945152
"19","US-Los",133,0.90662311308301
"20","US-UMB",133,0.666035150564494
"21","US-Var",133,0.635826234075657
"22","AU-How",133,0.749866383215469
"23","AU-Tum",133,0.618490766268635
"24","FI-Sod",133,0.900500465330363
"25","IT-SRo",133,0.193228429028598
"26","US-Syv",133,0.91633677565588
"27","US-Ton",133,0.417165690180356
"28","ZA-Kru",133,0.883407578689721
"29","DE-Hai",133,0.835356379330453
"30","FR-LBr",133,0.510014714799445
"31","IT-Cpz",133,0.741376737529487
"32","US-Me2",133,0.66138584905579
"33","IT-Lav",133,0.384082813167658
"34","RU-Cok",133,0.635887615990702
"35","AT-Neu",133,0.593290693151595
"36","CH-Lae",133,0.75465245120594
"37","DE-Gri",133,0.398684243458786
"38","GF-Guy",133,0.119426198685948
"39","IT-MBo",133,0.419214602372038
"40","IT-Noe",133,0.223174864848956
"41","IT-Ro2",133,0.332564968806547
"42","US-Blo",133,0.797793593468988
"43","US-GLE",133,0.906041292349438
"44","US-SRM",133,0.877215245684146
"45","US-Wkg",133,0.646513962178062
"46","BR-Sa1",133,0.373662014589729
"47","CH-Cha",133,0.925202131144111
"48","CH-Fru",133,0.8679908662433
"49","FR-Fon",133,0.541927186672941
"50","CZ-wet",133,0.560726790856331
"51","IT-Ro1",133,0.209492625084839
"52","US-Ha1",134,0.734850170425774
"53","US-PFa",134,0.912834604053859
"54","BE-Bra",134,0.911972851230792
"55","BE-Vie",134,0.856959673287164
"56","DE-Tha",134,0.844671310920266
"57","DK-Sor",134,0.499095479260113
"58","FI-Hyy",134,0.652419513377537
"59","IT-Col",134,0.692182908321598
"60","NL-Loo",134,0.795443512656706
"61","CH-Dav",134,0.844946954953454
"62","RU-Fyo",134,0.86034600475567
"63","US-NR1",134,0.907122138305752
"64","IT-Ren",134,0.895215463672341
"65","US-MMS",134,0.619119586495564
"66","US-WCr",134,0.82121813539027
"67","CA-Man",134,0.845220609503117
"68","DK-ZaH",134,0.363142020854726
"69","FR-Pue",134,0.575149061927918
"70","US-Los",134,0.905964354887749
"71","US-UMB",134,0.665836461617084
"72","US-Var",134,0.633952725348955
"73","AU-How",134,0.748977235604701
"74","AU-Tum",134,0.62240662725573
"75","FI-Sod",134,0.898350381590468
"76","IT-SRo",134,0.192727477924133
"77","US-Syv",134,0.915873937437171
"78","US-Ton",134,0.415162455378181
"79","ZA-Kru",134,0.882655296603578
"80","DE-Hai",134,0.833994128118334
"81","FR-LBr",134,0.504215512784629
"82","IT-Cpz",134,0.743596180962591
"83","US-Me2",134,0.662035924246917
"84","IT-Lav",134,0.384117595291554
"85","RU-Cok",134,0.625285022043492
"86","AT-Neu",134,0.593605270648173
"87","CH-Lae",134,0.753320983471712
"88","DE-Gri",134,0.396360275349139
"89","GF-Guy",134,0.126523011747745
"90","IT-MBo",134,0.420409981408809
"91","IT-Noe",134,0.221581398274247
"92","IT-Ro2",134,0.332448235268161
"93","US-Blo",134,0.798193468965653
"94","US-GLE",134,0.905537783963527
"95","US-SRM",134,0.877003916241084
"96","US-Wkg",134,0.645888374606817
"97","BR-Sa1",134,0.369808594624466
"98","CH-Cha",134,0.923984151298059
"99","CH-Fru",134,0.866232909901434
"100","FR-Fon",134,0.541760777677444
"101","CZ-wet",134,0.561110003022792
"102","IT-Ro1",134,0.208499600778642
"103","US-Ha1",135,0.733280840389384
"104","US-PFa",135,0.912106531781892
"105","BE-Bra",135,0.911519727004793
"106","BE-Vie",135,0.855905209568009
"107","DE-Tha",135,0.843461162996403
"108","DK-Sor",135,0.499086464256184
"109","FI-Hyy",135,0.651997638093591
"110","IT-Col",135,0.691197562747431
"111","NL-Loo",135,0.794205993317166
"112","CH-Dav",135,0.844400013444363
"113","RU-Fyo",135,0.859836947591618
"114","US-NR1",135,0.906390531832133
"115","IT-Ren",135,0.89459931047392
"116","US-MMS",135,0.618478189922607
"117","US-WCr",135,0.819543584756125
"118","CA-Man",135,0.845102567767564
"119","DK-ZaH",135,0.360332052009453
"120","FR-Pue",135,0.575474727537174
"121","US-Los",135,0.905220806511969
"122","US-UMB",135,0.665452485029515
"123","US-Var",135,0.631992849957312
"124","AU-How",135,0.747889481627043
"125","AU-Tum",135,0.622884015231554
"126","FI-Sod",135,0.896148960411155
"127","IT-SRo",135,0.192270528139378
"128","US-Syv",135,0.915228534987387
"129","US-Ton",135,0.414740881824171
"130","ZA-Kru",135,0.882023308253882
"131","DE-Hai",135,0.832588683960185
"132","FR-LBr",135,0.498636515301007
"133","IT-Cpz",135,0.743881548933542
"134","US-Me2",135,0.661829596349522
"135","IT-Lav",135,0.384445626450122
"136","RU-Cok",135,0.61671149416576
"137","AT-Neu",135,0.590704123705957
"138","CH-Lae",135,0.752160045409013
"139","DE-Gri",135,0.396968852961184
"140","GF-Guy",135,0.12919207602491
"141","IT-MBo",135,0.4217268980545
"142","IT-Noe",135,0.219612426902534
"143","IT-Ro2",135,0.329166714485203
"144","US-Blo",135,0.797792728923819
"145","US-GLE",135,0.904884512775965
"146","US-SRM",135,0.876797512210536
"147","US-Wkg",135,0.64505694952934
"148","BR-Sa1",135,0.364506943190363
"149","CH-Cha",135,0.922767285031398
"150","CH-Fru",135,0.8662743607634
"151","FR-Fon",135,0.542209817828288
"152","CZ-wet",135,0.561732455346729
"153","IT-Ro1",135,0.206132550974048
"154","US-Ha1",136,0.731737409450787
"155","US-PFa",136,0.911354686765581
"156","BE-Bra",136,0.911150729239594
"157","BE-Vie",136,0.855233037564181
"158","DE-Tha",136,0.843120439323744
"159","DK-Sor",136,0.498740445956586
"160","FI-Hyy",136,0.651771052749992
"161","IT-Col",136,0.690515950368049
"162","NL-Loo",136,0.79296490519582
"163","CH-Dav",136,0.844104210906774
"164","RU-Fyo",136,0.85954977214921
"165","US-NR1",136,0.905716172756938
"166","IT-Ren",136,0.89396785476494
"167","US-MMS",136,0.618021973249584
"168","US-WCr",136,0.817737860606153
"169","CA-Man",136,0.844394797610821
"170","DK-ZaH",136,0.357463617489362
"171","FR-Pue",136,0.57627089324555
"172","US-Los",136,0.904571569303389
"173","US-UMB",136,0.665106129321798
"174","US-Var",136,0.63008105948195
"175","AU-How",136,0.74697234803527
"176","AU-Tum",136,0.613135827617667
"177","FI-Sod",136,0.893912962735675
"178","IT-SRo",136,0.192375892049081
"179","US-Syv",136,0.914551670117351
"180","US-Ton",136,0.413853115193575
"181","ZA-Kru",136,0.881128028832637
"182","DE-Hai",136,0.831141646052352
"183","FR-LBr",136,0.492720642701577
"184","IT-Cpz",136,0.74569825456321
"185","US-Me2",136,0.662023381212285
"186","IT-Lav",136,0.384186788047554
"187","RU-Cok",136,0.606218948166859
"188","AT-Neu",136,0.591878687849832
"189","CH-Lae",136,0.751291262369521
"190","DE-Gri",136,0.392144877842543
"191","GF-Guy",136,0.124348427408474
"192","IT-MBo",136,0.422773886207975
"193","IT-Noe",136,0.218473335494426
"194","IT-Ro2",136,0.3284452467942
"195","US-Blo",136,0.797894658727874
"196","US-GLE",136,0.904313180835998
"197","US-SRM",136,0.876414470536866
"198","US-Wkg",136,0.644531046890068
"199","BR-Sa1",136,0.361901527887412
"200","CH-Cha",136,0.921572287487596
"201","CH-Fru",136,0.864875799200567
"202","FR-Fon",136,0.542324495720109
"203","CZ-wet",136,0.561656563707607
"204","IT-Ro1",136,0.205314501051233
"205","US-Ha1",137,0.730214366117527
"206","US-PFa",137,0.910606778117298
"207","BE-Bra",137,0.910660679001086
"208","BE-Vie",137,0.854373429767165
"209","DE-Tha",137,0.842179612296724
"210","DK-Sor",137,0.498918325936679
"211","FI-Hyy",137,0.651291679418602
"212","IT-Col",137,0.68996913599974
"213","NL-Loo",137,0.791695767734767
"214","CH-Dav",137,0.843913906318623
"215","RU-Fyo",137,0.858841175102763
"216","US-NR1",137,0.904963318342805
"217","IT-Ren",137,0.893330180486193
"218","US-MMS",137,0.617032915709412
"219","US-WCr",137,0.816035120621519
"220","CA-Man",137,0.844159993104881
"221","DK-ZaH",137,0.354682554210974
"222","FR-Pue",137,0.577000754518321
"223","US-Los",137,0.903860335920408
"224","US-UMB",137,0.664786043463203
"225","US-Var",137,0.628093060172556
"226","AU-How",137,0.74604999188976
"227","AU-Tum",137,0.615132886973329
"228","FI-Sod",137,0.891625881526074
"229","IT-SRo",137,0.192379487604557
"230","US-Syv",137,0.913918512166568
"231","US-Ton",137,0.412689920789584
"232","ZA-Kru",137,0.88048846751789
"233","DE-Hai",137,0.829797799537031
"234","FR-LBr",137,0.486818154228039
"235","IT-Cpz",137,0.746321818865436
"236","US-Me2",137,0.662565696745249
"237","IT-Lav",137,0.383313801836667
"238","RU-Cok",137,0.596965890677664
"239","AT-Neu",137,0.590643912935051
"240","CH-Lae",137,0.749344300107217
"241","DE-Gri",137,0.390978382160477
"242","GF-Guy",137,0.127659648597738
"243","IT-MBo",137,0.423872151373753
"244","IT-Noe",137,0.217246596581313
"245","IT-Ro2",137,0.331584232189
"246","US-Blo",137,0.798191999985684
"247","US-GLE",137,0.903654540518183
"248","US-SRM",137,0.876220756514836
"249","US-Wkg",137,0.643929207716116
"250","BR-Sa1",137,0.358931635813019
"251","CH-Cha",137,0.920343325590584
"252","CH-Fru",137,0.863934436908783
"253","FR-Fon",137,0.543092836373366
"254","CZ-wet",137,0.561821125184
"255","IT-Ro1",137,0.203206518341726
"256","US-Ha1",138,0.728589365243501
"257","US-PFa",138,0.909861710462536
"258","BE-Bra",138,0.91017635363785
"259","BE-Vie",138,0.853517614967994
"260","DE-Tha",138,0.841484703474561
"261","DK-Sor",138,0.498888335365917
"262","FI-Hyy",138,0.650852123305812
"263","IT-Col",138,0.688873607250852
"264","NL-Loo",138,0.790432320580834
"265","CH-Dav",138,0.844058801726076
"266","RU-Fyo",138,0.858443439617225
"267","US-NR1",138,0.904213173360928
"268","IT-Ren",138,0.8925487632371
"269","US-MMS",138,0.617101586491346
"270","US-WCr",138,0.814345482121856
"271","CA-Man",138,0.843516129114971
"272","DK-ZaH",138,0.35251074222229
"273","FR-Pue",138,0.577486075402511
"274","US-Los",138,0.903149023547003
"275","US-UMB",138,0.664426070113397
"276","US-Var",138,0.626358747446813
"277","AU-How",138,0.745105129398345
"278","AU-Tum",138,0.61881411063269
"279","FI-Sod",138,0.889317992340839
"280","IT-SRo",138,0.192199881896727
"281","US-Syv",138,0.913358493130293
"282","US-Ton",138,0.412235468070451
"283","ZA-Kru",138,0.879710609705125
"284","DE-Hai",138,0.828360624623958
"285","FR-LBr",138,0.480880660793279
"286","IT-Cpz",138,0.747825891952571
"287","US-Me2",138,0.66281291711107
"288","IT-Lav",138,0.383854419583944
"289","RU-Cok",138,0.585954602484384
"290","AT-Neu",138,0.589257530378025
"291","CH-Lae",138,0.74833196562308
"292","DE-Gri",138,0.388742283028761
"293","GF-Guy",138,0.122936821187845
"294","IT-MBo",138,0.425312963131276
"295","IT-Noe",138,0.215427186507995
"296","IT-Ro2",138,0.329386134005035
"297","US-Blo",138,0.798006927214788
"298","US-GLE",138,0.903055811292989
"299","US-SRM",138,0.876027343244345
"300","US-Wkg",138,0.642996668893
"301","BR-Sa1",138,0.35302255603901
"302","CH-Cha",138,0.919089352182793
"303","CH-Fru",138,0.862082797683174
"304","FR-Fon",138,0.544115685063915
"305","CZ-wet",138,0.56158822637605
"306","IT-Ro1",138,0.202180746613522
"307","US-Ha1",139,0.726924890628549
"308","US-PFa",139,0.909090812086021
"309","BE-Bra",139,0.909808784954872
"310","BE-Vie",139,0.852593083180803
"311","DE-Tha",139,0.840931395360276
"312","DK-Sor",139,0.49902646805081
"313","FI-Hyy",139,0.650137916562244
"314","IT-Col",139,0.6876424703659
"315","NL-Loo",139,0.789118377296333
"316","CH-Dav",139,0.843393723458548
"317","RU-Fyo",139,0.857973117766868
"318","US-NR1",139,0.903492351110103
"319","IT-Ren",139,0.892035358232379
"320","US-MMS",139,0.616533936591562
"321","US-WCr",139,0.812507528202927
"322","CA-Man",139,0.842830174834176
"323","DK-ZaH",139,0.350073941733915
"324","FR-Pue",139,0.578093199065609
"325","US-Los",139,0.902430849399648
"326","US-UMB",139,0.663890602699432
"327","US-Var",139,0.624550231747767
"328","AU-How",139,0.744105704682822
"329","AU-Tum",139,0.626801638448696
"330","FI-Sod",139,0.88694123217552
"331","IT-SRo",139,0.192134095430185
"332","US-Syv",139,0.912639038626732
"333","US-Ton",139,0.411300406394751
"334","ZA-Kru",139,0.879023854873761
"335","DE-Hai",139,0.826939364994564
"336","FR-LBr",139,0.474757941872092
"337","IT-Cpz",139,0.748640139681506
"338","US-Me2",139,0.662362015383658
"339","IT-Lav",139,0.38341802144351
"340","RU-Cok",139,0.577068606890936
"341","AT-Neu",139,0.589415287107967
"342","CH-Lae",139,0.746938598278584
"343","DE-Gri",139,0.391438312923715
"344","GF-Guy",139,0.124422856435215
"345","IT-MBo",139,0.426386255948003
"346","IT-Noe",139,0.214174428834515
"347","IT-Ro2",139,0.325909922123476
"348","US-Blo",139,0.797874177397028
"349","US-GLE",139,0.90240529223549
"350","US-SRM",139,0.875655979462545
"351","US-Wkg",139,0.642379132082709
"352","BR-Sa1",139,0.351143493547415
"353","CH-Cha",139,0.917842045116158
"354","CH-Fru",139,0.86079193881912
"355","FR-Fon",139,0.544283634126681
"356","CZ-wet",139,0.562452523023282
"357","IT-Ro1",139,0.201962096694313
