"PC1","precip"
-0.135591539479025,0
-0.173337360642409,-0.027437951331228
-0.211627647694505,-0.0596379023939614
-0.243673303536238,0
-0.196062705779577,-0.0630337957315921
-0.0583714940161597,0
-0.0979534652417883,0
-0.127333799739917,0
-0.1877912114785,0
-0.268156314650986,-0.102388903651763
-0.159864281983178,0
0.23813593363839,0
-0.2451767244671,0
-0.132776657303598,0
-0.143907713070417,0
-0.136243070535407,-0.0462734341858667
-0.0515131136384756,0
-0.16807251639138,0
-0.109008959386201,0.0300586248634195
-0.128986809556871,0
0.207416441969937,0
0,-0.209822532817478
0.31033988040425,0
-0.128988460211406,0
0.203527107274206,0
-0.21926636344372,0
-0.0720812278592924,-0.118746242837047
-0.299543429145984,-0.311480824257693
-0.176252983091036,-0.10670096881475
-0.144207668624186,0
-0.368953779420615,0
-0.135892907346546,0
0.222548795405411,0
-0.0863212750815483,0.0309611466369247
-0.194799383299805,0
-0.159557565967375,-0.0914528681152901
0,0
0.22270115831623,0
-0.0424714603792039,0
0.142015623845177,0
0,0
-0.181051285471751,0
-0.177444773423834,-0.0718199141460734
-0.0465222071455329,-0.112217474713039
0,-0.0611782349376003
0,0
-0.288938120795229,0
-0.204028061048248,-0.196705445520803
-0.107375369338125,0
-0.0683809947374697,0
0.0796498688517861,0
